question comparison,question transition,body comparison,body transition,paraphrase comparison,paraphrase transition,answer
What is the number of small pots that Jacob has?,What is the number of small pots that Nicholas has now?,Nicholas has 19 small pots. Nicholas has 7 more small pots than Lucy. Chloe has 5 fewer small pots than Lucy. Chloe has 15 fewer small pots than Christopher. Christopher has 15 more small pots than Samuel. Jacob has 5 fewer small pots than Samuel.,Nicholas has 19 small pots. Nicholas gave Lucy 7 small pots. Nicholas gave Chloe 5 small pots. Christopher gave Nicholas 15 small pots. Nicholas gave Samuel 15 small pots. Nicholas gave Jacob 5 small pots.,Nicholas has 19 small pots. Nicholas has 7 more small pots than Lucy. Chloe has 5 fewer small pots than Lucy. Chloe has 15 fewer small pots than Christopher. Christopher has 15 more small pots than Samuel. Jacob has 5 fewer small pots than Samuel. What is the number of small pots that Jacob has?,Nicholas has 19 small pots. Nicholas gave Lucy 7 small pots. Nicholas gave Chloe 5 small pots. Christopher gave Nicholas 15 small pots. Nicholas gave Samuel 15 small pots. Nicholas gave Jacob 5 small pots. What is the number of small pots that Nicholas has now?,2
How many liters of milk does Elizabeth have?,How many liters of milk does Michael have now?,Michael has 18 liters of milk. Emily has 8 liters of milk more than Michael. Elizabeth has 13 liters of milk more than Emily.,Michael has 18 liters of milk. Emily gave Michael 8 liters of milk. Elizabeth gave Michael 13 liters of milk.,Michael has 18 liters of milk. Emily has 8 liters more milk than Michael. Elizabeth has 13 liters more milk than Emily. How many liters of milk does Elizabeth have?,Michael has 18 liters of milk. Emily gave Michael 8 liters of milk. Elizabeth gave Michael 13 liters of milk. How many liters of milk does Michael have now?,39
How many acres of farmland does Benjamin have?,How many acres of farmland does Henry have now?,Henry has 17 acres of farmland. Grace has 10 acres of farmland less than Henry. Benjamin has 4 acres of farmland more than Grace.,Henry has 17 acres of farmland. Henry gave Grace 10 acres of farmland. Benjamin gave Henry 4 acres of farmland.,Henry has 17 acres of farmland. Grace has 10 acres less farmland than Henry. Benjamin has 4 more acres of farmland than Grace. How many acres of farmland does Benjamin have?,Henry has 17 acres of farmland. Henry gave Grace 10 acres of farmland. Benjamin gave Henry 4 acres of farmland. How many acres of farmland does Henry have now?,11
How many soaps does Nicholas have in all?,How many soaps does Jackson have in all now?,Jackson has 5 soaps. Daniel has 20 more soaps than Jackson. Daniel has 11 fewer soaps than Abigail. Abigail has 8 more soaps than Natalie. Natalie has 7 fewer soaps than Nicholas.,Jackson has 5 soaps. Daniel gave 20 soaps to Jackson. Abigail gave 11 soaps to Jackson. Jackson gave Natalie 8 soaps. Nicholas gave Jackson 7 soaps.,Jackson has 5 soaps. Daniel has 20 more soaps than Jackson. Daniel has 11 fewer soaps than Abigail. Abigail has 8 more soaps than Natalie. Natalie has 7 fewer soaps than Nicholas. How many soaps does Nicholas have in total?,Jackson has 5 soaps. Daniel gave 20 soaps to Jackson. Abigail gave 11 soaps to Jackson. Jackson gave Natalie 8 soaps. Nicholas gave Jackson 7 soaps. How many soaps does Jackson have now in total?,35
How many bowls does Emily have in total?,How many bowls does Jacob have now?,Jacob has 18 bowls. Jacob has 6 more bowls than Jackson. Jackson has 15 fewer bowls than Lily. Lily has 19 more bowls than Emily.,Jacob has 18 bowls. Jacob gave Jackson 6 bowls. Lily gave Jacob 15 bowls. Jacob gave Emily 19 bowls.,Jacob has 18 bowls. Jacob has 6 more bowls than Jackson. Jackson has 15 fewer bowls than Lily. Lily has 19 more bowls than Emily. How many bowls does Emily have in total?,Jacob has 18 bowls. Jacob gave Jackson 6 bowls. Lily gave Jacob 15 bowls. Jacob gave Emily 19 bowls. How many bowls does Jacob have now?,8
How many couchs does Christopher have in their collection?,How many couchs does Alexander have in all now?,Alexander has 4 couchs. Alexander has 5 fewer couchs than Matthew. Matthew has 5 fewer couchs than Lily. Lily has 10 fewer couchs than Grace. Christopher has 18 fewer couchs than Grace.,Alexander has 4 couchs. Matthew gave Alexander 5 couchs. Lily gave Alexander 5 couchs. Grace gave Alexander 10 couchs. Alexander gave 18 couchs to Christopher.,Alexander has 4 couches. Alexander has 5 fewer couches than Matthew. Matthew has 5 fewer couches than Lily. Lily has 10 fewer couches than Grace. Christopher has 18 fewer couches than Grace. How many couches does Christopher have in their collection?,Alexander has 4 couches. Matthew gave Alexander 5 couches. Lily gave Alexander 5 couches. Grace gave Alexander 10 couches. Alexander gave 18 couches to Christopher. How many couches does Alexander have in total now?,6
What is the number of small paintings that Joshua has?,What is the number of small paintings that Scarlett has now?,Scarlett has 12 small paintings. Jacob has 12 more small paintings than Scarlett. Jacob has 15 fewer small paintings than Olivia. Joshua has 5 fewer small paintings than Olivia.,Scarlett has 12 small paintings. Jacob gave Scarlett 12 small paintings. Olivia gave Scarlett 15 small paintings. Scarlett gave Joshua 5 small paintings.,Scarlett has 12 small paintings. Jacob has 12 more small paintings than Scarlett. Jacob has 15 fewer small paintings than Olivia. Joshua has 5 fewer small paintings than Olivia. What is the number of small paintings that Joshua has?,Scarlett has 12 small paintings. Jacob gave Scarlett 12 small paintings. Olivia gave Scarlett 15 small paintings. Scarlett gave Joshua 5 small paintings. What is the number of small paintings that Scarlett has now?,34
What is the number of large bookshelfs that Amelia has?,What is the number of large bookshelfs that Michael has now?,Michael has 17 large bookshelfs. Michael has 3 more large bookshelfs than David. David has 3 more large bookshelfs than Amelia.,Michael has 17 large bookshelfs. Michael gave David 3 large bookshelfs. Michael gave Amelia 3 large bookshelfs.,Michael has 17 large bookshelves. Michael has 3 more large bookshelves than David. David has 3 more large bookshelves than Amelia. What is the number of large bookshelves that Amelia has?,Michael has 17 large bookshelves. Michael gave David 3 large bookshelves. Michael gave Amelia 3 large bookshelves. What is the number of large bookshelves that Michael has now?,11
How many cups does Jackson have?,How many cups does Sophia have in their collection now?,Sophia has 19 cups. Sophia has 9 more cups than Scarlett. Scarlett has 2 more cups than Samuel. Emily has 6 fewer cups than Samuel. Emma has 2 fewer cups than Emily. Jackson has 18 more cups than Emma.,Sophia has 19 cups. Sophia gave 9 cups to Scarlett. Sophia gave 2 cups to Samuel. Sophia gave 6 cups to Emily. Sophia gave Emma 2 cups. Jackson gave Sophia 18 cups.,Sophia has 19 cups. Sophia has 9 more cups than Scarlett. Scarlett has 2 more cups than Samuel. Emily has 6 fewer cups than Samuel. Emma has 2 fewer cups than Emily. Jackson has 18 more cups than Emma. How many cups does Jackson have?,Sophia has 19 cups. Sophia gave 9 cups to Scarlett. Sophia gave 2 cups to Samuel. Sophia gave 6 cups to Emily. Sophia gave 2 cups to Emma. Jackson gave Sophia 18 cups. How many cups does Sophia have in her collection now?,18
How many chairs does David have in their collection?,How many chairs does Charlotte have in their collection now?,Charlotte has 9 chairs. David has 6 more chairs than Charlotte.,Charlotte has 9 chairs. David gave 6 chairs to Charlotte.,Charlotte has 9 chairs. David has 6 chairs more than Charlotte. How many chairs does David have in their collection?,Charlotte has 9 chairs. David gave 6 chairs to Charlotte. How many chairs does Charlotte have in her collection now?,15
How many bowls does Sophia have in all?,How many bowls does Andrew have now?,Andrew has 18 bowls. Andrew has 3 fewer bowls than Matthew. Matthew has 5 more bowls than James. Ryan has 6 more bowls than James. Sophia has 13 fewer bowls than Ryan.,Andrew has 18 bowls. Matthew gave 3 bowls to Andrew. Andrew gave James 5 bowls. Ryan gave 6 bowls to Andrew. Andrew gave 13 bowls to Sophia.,Andrew has 18 bowls. Andrew has 3 fewer bowls than Matthew. Matthew has 5 more bowls than James. Ryan has 6 more bowls than James. Sophia has 13 fewer bowls than Ryan. How many bowls does Sophia have in total?,Andrew has 18 bowls. Matthew gave 3 bowls to Andrew. Andrew gave James 5 bowls. Ryan gave 6 bowls to Andrew. Andrew gave 13 bowls to Sophia. How many bowls does Andrew have now?,9
How many gigabytes of training data does Abigail have?,How many gigabytes of training data does Victoria have now?,Victoria has 8 gigabytes of training data. Victoria has 10 gigabytes of training data less than Abigail.,Victoria has 8 gigabytes of training data. Abigail gave Victoria 10 gigabytes of training data.,Victoria has 8 gigabytes of training data. Victoria has 10 gigabytes less training data than Abigail. How many gigabytes of training data does Abigail have?,Victoria has 8 gigabytes of training data. Abigail gave Victoria 10 gigabytes of training data. How many gigabytes of training data does Victoria have now?,18
How many vases does Elizabeth have in their collection?,How many vases does Hannah have in all now?,Hannah has 13 vases. William has 4 more vases than Hannah. Charlotte has 12 fewer vases than William. Elizabeth has 12 more vases than Charlotte.,Hannah has 13 vases. William gave Hannah 4 vases. Hannah gave Charlotte 12 vases. Elizabeth gave Hannah 12 vases.,Hannah has 13 vases. William has 4 vases more than Hannah. Charlotte has 12 vases fewer than William. Elizabeth has 12 vases more than Charlotte. How many vases does Elizabeth have in her collection?,Hannah has 13 vases. William gave Hannah 4 vases. Hannah gave Charlotte 12 vases. Elizabeth gave Hannah 12 vases. How many vases does Hannah have in total now?,17
How many gallons of oil does Ella have?,How many gallons of oil does Chloe have now?,Chloe has 15 gallons of oil. Grace has 4 gallons of oil less than Chloe. Grace has 7 gallons of oil less than Jacob. Andrew has 17 gallons of oil more than Jacob. Ella has 10 gallons of oil less than Andrew.,Chloe has 15 gallons of oil. Chloe gave Grace 4 gallons of oil. Jacob gave Chloe 7 gallons of oil. Andrew gave Chloe 17 gallons of oil. Chloe gave Ella 10 gallons of oil.,Chloe has 15 gallons of oil. Grace has 4 gallons less oil than Chloe. Grace has 7 gallons less oil than Jacob. Andrew has 17 gallons more oil than Jacob. Ella has 10 gallons less oil than Andrew. How many gallons of oil does Ella have?,Chloe has 15 gallons of oil. Chloe gave Grace 4 gallons of oil. Jacob gave Chloe 7 gallons of oil. Andrew gave Chloe 17 gallons of oil. Chloe gave Ella 10 gallons of oil. How many gallons of oil does Chloe have now?,25
How many acres of farmland does Harper have?,How many acres of farmland does Mia have now?,Mia has 10 acres of farmland. Mia has 17 acres of farmland less than Layla. Layla has 20 acres of farmland less than Harper.,Mia has 10 acres of farmland. Layla gave Mia 17 acres of farmland. Harper gave Mia 20 acres of farmland.,Mia has 10 acres of farmland. Mia has 17 acres less farmland than Layla. Layla has 20 acres less farmland than Harper. How many acres of farmland does Harper have?,Mia has 10 acres of farmland. Layla gave Mia 17 acres of farmland. Harper gave Mia 20 acres of farmland. How many acres of farmland does Mia have now?,47
How many acres of farmland does Olivia have?,How many acres of farmland does Mila have now?,Mila has 7 acres of farmland. Mila has 2 acres of farmland more than Grace. Hannah has 15 acres of farmland more than Grace. Olivia has 11 acres of farmland less than Hannah.,Mila has 7 acres of farmland. Mila gave Grace 2 acres of farmland. Hannah gave Mila 15 acres of farmland. Mila gave Olivia 11 acres of farmland.,Mila has 7 acres of farmland. Mila has 2 more acres of farmland than Grace. Hannah has 15 more acres of farmland than Grace. Olivia has 11 fewer acres of farmland than Hannah. How many acres of farmland does Olivia have?,Mila has 7 acres of farmland. Mila gave Grace 2 acres of farmland. Hannah gave Mila 15 acres of farmland. Mila gave Olivia 11 acres of farmland. How many acres of farmland does Mila have now?,9
How many bowls does Michael have in their collection?,How many bowls does Scarlett have in their collection now?,Scarlett has 15 bowls. Scarlett has 3 more bowls than Logan. Michael has 8 fewer bowls than Logan.,Scarlett has 15 bowls. Scarlett gave 3 bowls to Logan. Scarlett gave 8 bowls to Michael.,Scarlett has 15 bowls. Scarlett has 3 more bowls than Logan. Michael has 8 fewer bowls than Logan. How many bowls does Michael have in his collection?,Scarlett has 15 bowls. Scarlett gave 3 bowls to Logan. Scarlett gave 8 bowls to Michael. How many bowls does Scarlett have in her collection now?,4
How many headphones does Michael have in all?,How many headphones does Olivia have totaled now?,Olivia has 5 headphones. Olivia has 9 fewer headphones than Grace. Grace has 19 fewer headphones than Avery. Avery has 11 more headphones than Joshua. Emily has 3 fewer headphones than Joshua. Michael has 4 fewer headphones than Emily.,Olivia has 5 headphones. Grace gave 9 headphones to Olivia. Avery gave 19 headphones to Olivia. Olivia gave 11 headphones to Joshua. Olivia gave 3 headphones to Emily. Olivia gave 4 headphones to Michael.,Olivia has 5 headphones. Olivia has 9 fewer headphones than Grace. Grace has 19 fewer headphones than Avery. Avery has 11 more headphones than Joshua. Emily has 3 fewer headphones than Joshua. Michael has 4 fewer headphones than Emily. How many headphones does Michael have in total?,Olivia has 5 headphones. Grace gave 9 headphones to Olivia. Avery gave 19 headphones to Olivia. Olivia gave 11 headphones to Joshua. Olivia gave 3 headphones to Emily. Olivia gave 4 headphones to Michael. How many headphones does Olivia have in total now?,15
